Subject,Date,Start Time,End Time,Size,Read,Transferred,Duration
NAS,2024-03-01,下午 11:57:14,上午 12:00:34,48 GB,123 MB,30.7 MB,0:03:20
Sales_Portal,2024-03-01,上午 12:00:21,上午 12:06:37,64 GB,637 MB,113.6 MB,0:06:15
SECOM,2024-03-01,下午 08:15:18,上午 12:11:49,931.5 GB,497 GB,212.1 MB,3:56:31
SECOM,2024-03-01,上午 12:15:11,上午 12:18:25,931.5 GB,4.9 GB,1.2 GB,0:03:14
MediaWiki,2024-03-01,上午 12:25:12,上午 12:26:15,51.5 GB,21 MB,3.9 MB,0:01:02
NAS,2024-03-01,上午 12:26:22,上午 12:28:44,51.5 GB,21 MB,4 MB,0:02:22
Jira,2024-03-01,上午 12:35:15,上午 12:38:01,300 GB,2.5 GB,634.7 MB,0:02:46
NAS,2024-03-01,上午 12:37:57,上午 12:40:19,300 GB,2.5 GB,634.7 MB,0:02:22
NAS,2024-03-01,上午 12:46:50,上午 12:51:15,68 GB,34 MB,3.7 MB,0:04:24
Mantis,2024-03-01,上午 12:45:17,上午 12:54:24,68 GB,34 MB,3.6 MB,0:09:07
MAWF,2024-03-01,下午 11:05:05,上午 01:01:45 (+1),400 GB,258.6 GB,116.7 MB,1:56:39
MAWF,2024-03-01,上午 01:01:54,上午 01:04:17,400 GB,276 MB,108.6 MB,0:02:23
SECOM,2024-03-01,上午 01:15:01,上午 01:16:54,931.5 GB,592 MB,177.4 MB,0:01:52
IOC_RMA_PDR,2024-03-01,上午 12:55:10,上午 01:19:44,48 GB,137 MB,31.6 MB,0:24:34
MAWF,2024-03-01,上午 12:05:03,上午 01:19:50,400 GB,18.8 GB,10.6 GB,1:14:46
NAS,2024-03-01,上午 01:20:16,上午 01:24:39,48 GB,133 MB,31.6 MB,0:04:23
SSRS,2024-03-01,上午 01:00:15,上午 01:24:59,100.6 GB,4.9 GB,1.7 GB,0:24:44
MediaWiki,2024-03-01,上午 01:25:04,上午 01:26:05,51.5 GB,17 MB,3.5 MB,0:01:00
NAS,2024-03-01,上午 01:25:22,上午 01:27:43,100.6 GB,4.2 GB,1.7 GB,0:02:21
NAS,2024-03-01,上午 01:26:14,上午 01:29:35,51.5 GB,17 MB,3.5 MB,0:03:21
MAWF,2024-03-01,上午 01:05:22,上午 01:30:34,400 GB,24.3 GB,3.5 GB,0:25:11
MAWF,2024-03-01,上午 01:30:29,上午 01:35:49,400 GB,24 GB,3.5 GB,0:05:20
Jira,2024-03-01,上午 01:35:07,上午 01:36:52,300 GB,854 MB,167.8 MB,0:01:44
NAS,2024-03-01,上午 01:37:03,上午 01:39:24,300 GB,852 MB,167.8 MB,0:02:21
Mantis,2024-03-01,上午 01:45:10,上午 01:45:56,68 GB,35 MB,6.4 MB,0:00:46
NAS,2024-03-01,上午 01:45:56,上午 01:47:15,68 GB,35 MB,6.4 MB,0:01:18
IOC_RMA_PDR,2024-03-01,上午 01:55:06,上午 01:57:12,48 GB,226 MB,113.3 MB,0:02:05
NAS,2024-03-01,上午 01:57:27,上午 02:00:56,48 GB,223 MB,113.3 MB,0:03:29
SSRS,2024-03-01,上午 02:00:12,上午 02:06:51,400 GB,4.7 GB,1.2 GB,0:06:39
NAS,2024-03-01,上午 02:07:38,上午 02:10:00,400 GB,4.6 GB,1.2 GB,0:02:22
SECOM,2024-03-01,上午 12:18:39,上午 02:11:39,931.5 GB,4.9 GB,1.2 GB,1:52:59
SECOM,2024-03-01,上午 02:11:48,上午 02:13:04,931.5 GB,582 MB,177.5 MB,0:01:16
SECOM,2024-03-01,上午 02:15:16,上午 02:30:43,931.5 GB,616 MB,186.2 MB,0:15:26
MediaWiki,2024-03-01,上午 02:25:17,上午 02:31:15,51.5 GB,12 MB,2.9 MB,0:05:58
SECOM,2024-03-01,上午 02:30:40,上午 02:31:57,931.5 GB,609 MB,186.2 MB,0:01:16
NAS,2024-03-01,上午 02:31:27,上午 02:32:45,51.5 GB,12 MB,2.9 MB,0:01:18
Jira,2024-03-01,上午 02:35:18,上午 02:36:14,300 GB,235 MB,56.3 MB,0:00:56
NAS,2024-03-01,上午 02:36:27,上午 02:37:45,300 GB,233 MB,56.3 MB,0:01:18
Mantis,2024-03-01,上午 02:45:19,上午 02:46:09,68 GB,48 MB,7.4 MB,0:00:50
NAS,2024-03-01,上午 02:46:05,上午 02:47:21,68 GB,48 MB,7.4 MB,0:01:16
SECOM,2024-03-01,上午 03:15:21,上午 03:16:31,931.5 GB,399 MB,116.3 MB,0:01:10
SECOM,2024-03-01,上午 03:16:30,上午 03:17:47,931.5 GB,394 MB,116.4 MB,0:01:16
MAWF,2024-03-01,上午 02:05:14,上午 03:21:14,400 GB,258.6 GB,235.9 MB,1:15:59
MAWF,2024-03-01,上午 03:21:08,上午 03:22:24,400 GB,960 MB,227.8 MB,0:01:16
MediaWiki,2024-03-01,上午 03:25:22,上午 03:26:10,51.5 GB,14 MB,3.8 MB,0:00:48
NAS,2024-03-01,上午 03:26:09,上午 03:27:28,51.5 GB,14 MB,3.8 MB,0:01:18
IOC_RMA_PDR,2024-03-01,上午 02:55:03,上午 03:29:01,48 GB,147 MB,32.5 MB,0:33:57
SECOM,2024-03-01,上午 12:15:14,上午 03:29:19,931.5 GB,498.6 GB,4.6 GB,3:14:05
ELSE,2024-03-01,上午 03:00:10,上午 03:29:50,128 GB,561 MB,118.2 MB,0:29:40
NAS,2024-03-01,上午 03:30:21,上午 03:32:43,128 GB,532 MB,118.2 MB,0:02:22
NAS,2024-03-01,上午 03:29:34,上午 03:33:55,48 GB,144 MB,32.6 MB,0:04:20
Jira,2024-03-01,上午 03:35:01,上午 03:35:57,300 GB,226 MB,58.3 MB,0:00:56
NAS,2024-03-01,上午 03:36:10,上午 03:37:29,300 GB,224 MB,58.3 MB,0:01:18
Mantis,2024-03-01,上午 03:45:02,上午 03:45:47,68 GB,32 MB,3.8 MB,0:00:44
