Subject,Status,Start Time,End Time,Size,Read,Transferred,Duration
MAWF,Success,下午 01:17:57,下午 02:12:30,400 GB,246.1 GB,636 MB,0:54:33
MAWF,Success,下午 04:17:50,下午 05:22:08,400 GB,246.1 GB,434.5 MB,1:04:17
MAWF,Success,下午 07:17:53,下午 08:12:49,400 GB,246.1 GB,226 MB,0:54:55
MAWF,Success,上午 07:18:01,上午 08:13:23,400 GB,246.1 GB,234 MB,0:55:21
MAWF,Success,上午 10:17:54,上午 11:07:30,400 GB,246.1 GB,402 MB,0:49:36
MAWF,Success,下午 04:17:54,下午 05:40:51,400 GB,246.1 GB,512 MB,1:22:57
MAWF,Success,下午 08:18:05,下午 09:40:06,400 GB,246.1 GB,228 MB,1:22:00
MAWF,Success,上午 03:17:58,上午 06:19:23,400 GB,246.1 GB,967 MB,3:01:24
SECOM,Success,上午 06:28:14,上午 08:39:17,931.5 GB,458.7 GB,1023.7 MB,2:11:03
MAWF,Success,下午 12:17:54,下午 01:50:11,400 GB,246.1 GB,313.5 MB,1:32:16
SECOM,Success,下午 07:28:08,下午 10:24:30,931.5 GB,458.9 GB,422.7 MB,2:56:21
MAWF,Success,下午 10:18:02,下午 11:38:50,400 GB,246.1 GB,218.5 MB,1:20:48
MAWF,Success,上午 06:18:05,上午 07:28:50,400 GB,246.2 GB,286 MB,1:10:45
SECOM,Success,上午 06:28:09,上午 09:02:59,931.5 GB,458.8 GB,274.7 MB,2:34:49
MAWF,Success,上午 10:18:04,上午 11:20:15,400 GB,246.2 GB,189 MB,1:02:11
SECOM,Success,上午 11:28:07,下午 01:29:49,931.5 GB,458.9 GB,220.7 MB,2:01:42
MAWF,Success,下午 04:18:05,下午 05:26:09,400 GB,246.2 GB,392 MB,1:08:03
MAWF,Success,下午 08:18:11,下午 09:42:58,400 GB,246.2 GB,183 MB,1:24:46
MAWF,Success,上午 12:34:42,上午 03:28:25,400 GB,265.5 GB,19.8 GB,2:53:43
MAWF,Success,上午 06:18:05,上午 07:23:20,400 GB,246.2 GB,353.5 MB,1:05:15
MAWF,Success,上午 10:17:47,上午 11:40:36,400 GB,246.2 GB,170.5 MB,1:22:48
MAWF,Success,下午 06:29:31,下午 07:53:28,400 GB,246.2 GB,374 MB,1:23:57
SECOM,Success,下午 05:28:09,下午 07:45:54,931.5 GB,458.9 GB,324.2 MB,2:17:44
MAWF,Success,下午 10:17:51,下午 11:27:59,400 GB,246.2 GB,191.5 MB,1:10:07
SECOM,Success,下午 10:27:55,上午 01:48:13,931.5 GB,459 GB,219.2 MB,3:20:17
SECOM,Success,上午 04:28:13,上午 06:30:04,931.5 GB,459 GB,501.7 MB,2:01:51
MAWF,Success,上午 05:18:01,上午 06:37:41,400 GB,246.2 GB,418.5 MB,1:19:40
MAWF,Success,上午 09:17:58,上午 11:28:43,400 GB,246.2 GB,228 MB,2:10:44
SECOM,Success,下午 08:28:12,下午 11:24:31,931.5 GB,459.1 GB,248.7 MB,2:56:18
MAWF,Success,上午 06:18:05,上午 07:45:11,400 GB,246.3 GB,324 MB,1:27:06
MAWF,Success,上午 09:17:50,上午 11:41:07,400 GB,246.3 GB,275.5 MB,2:23:16
MAWF,Success,下午 02:17:44,下午 04:16:16,400 GB,246.3 GB,360 MB,1:58:32
MAWF,Success,下午 07:27:17,下午 09:02:48,400 GB,246.4 GB,408 MB,1:35:31
MAWF,Success,下午 11:18:03,上午 12:44:48,400 GB,246.4 GB,156 MB,1:26:45
SECOM,Success,下午 11:28:06,上午 02:20:31,931.5 GB,460.2 GB,415.3 MB,2:52:25
SECOM,Success,上午 06:27:56,上午 09:18:58,931.5 GB,459.5 GB,327.3 MB,2:51:02
MAWF,Success,下午 12:17:50,下午 02:41:13,400 GB,246.4 GB,403.5 MB,2:23:23
MAWF,Success,下午 05:36:47,下午 07:27:10,400 GB,246.4 GB,626.5 MB,1:50:23
MAWF,Success,下午 10:17:52,上午 12:01:08,400 GB,246.4 GB,164 MB,1:43:16
MAWF,Success,上午 02:18:11,上午 05:05:49,400 GB,246.4 GB,560.5 MB,2:47:37
MAWF,Success,上午 07:18:11,上午 09:27:06,400 GB,246.4 GB,220 MB,2:08:54
MAWF,Success,上午 11:18:06,下午 12:50:57,400 GB,246.9 GB,473.1 MB,1:32:51
MAWF,Success,下午 12:18:06,下午 01:23:14,400 GB,247 GB,332.1 MB,1:05:08
SECOM,Success,上午 11:28:15,下午 01:48:22,931.5 GB,459.8 GB,598.8 MB,2:20:07
MAWF,Success,下午 09:18:06,下午 11:54:08,400 GB,247.1 GB,195.1 MB,2:36:01
MAWF,Success,上午 08:18:07,上午 10:48:15,400 GB,247.1 GB,293.1 MB,2:30:07
MAWF,Success,下午 12:17:51,下午 01:50:39,400 GB,247.1 GB,178.1 MB,1:32:48
MAWF,Success,下午 07:18:03,下午 08:26:01,400 GB,247.1 GB,311.1 MB,1:07:58
SECOM,Success,下午 07:28:06,下午 10:02:23,931.5 GB,460.1 GB,356.8 MB,2:34:16
MAWF,Success,下午 10:18:02,上午 12:10:52,400 GB,247.1 GB,163.1 MB,1:52:50
MAWF,Success,上午 07:17:43,上午 08:27:17,400 GB,247.2 GB,266.1 MB,1:09:34
MAWF,Success,上午 11:17:40,下午 12:42:56,400 GB,247.2 GB,147.1 MB,1:25:16
SECOM,Success,下午 02:27:44,下午 04:32:56,931.5 GB,460.1 GB,592.8 MB,2:05:12
MAWF,Success,下午 11:18:10,上午 01:55:17,400 GB,247.2 GB,182.1 MB,2:37:07
MAWF,Success,上午 11:18:03,下午 01:19:20,400 GB,247.3 GB,545.1 MB,2:01:16
MAWF,Success,下午 08:18:11,下午 09:20:12,400 GB,247.3 GB,303.1 MB,1:02:01
SECOM,Success,下午 11:28:05,上午 01:36:25,931.5 GB,460.3 GB,398.3 MB,2:08:19
MAWF,Success,上午 12:34:10,上午 03:53:54,400 GB,266.7 GB,21.2 GB,3:19:43
MAWF,Success,上午 07:17:45,上午 08:49:46,400 GB,247.3 GB,270.6 MB,1:32:01
MAWF,Success,上午 10:18:02,下午 12:18:55,400 GB,247.3 GB,408.6 MB,2:00:52
MAWF,Success,下午 03:36:43,下午 05:27:37,400 GB,247.3 GB,1.2 GB,1:50:53
SECOM,Success,上午 05:27:55,上午 07:46:05,931.5 GB,461.3 GB,1.4 GB,2:18:10
MAWF,Success,上午 10:18:02,下午 12:58:30,400 GB,248 GB,473.1 MB,2:40:27
SECOM,Success,下午 02:27:53,下午 04:38:58,931.5 GB,461.5 GB,684.9 MB,2:11:05
MAWF,Success,下午 11:18:48,上午 02:06:56,400 GB,248 GB,83.6 MB,2:48:07
MAWF,Success,上午 11:18:10,下午 12:23:53,400 GB,248.2 GB,598.6 MB,1:05:42
SECOM,Success,下午 12:28:09,下午 02:31:51,931.5 GB,463.6 GB,336.5 MB,2:03:42
MAWF,Success,下午 03:18:07,下午 04:58:19,400 GB,248.2 GB,634.6 MB,1:40:12
MAWF,Success,下午 06:19:04,下午 08:11:14,400 GB,248.2 GB,1.5 GB,1:52:10
SECOM,Success,下午 05:27:49,下午 08:34:13,931.5 GB,463.7 GB,431 MB,3:06:24
MAWF,Success,下午 11:17:51,上午 01:45:42,400 GB,248.6 GB,572.2 MB,2:27:50
MAWF,Success,下午 04:38:25,下午 06:07:47,400 GB,248.9 GB,1.1 GB,1:29:22
SECOM,Success,下午 08:27:46,下午 11:55:57,931.5 GB,464.2 GB,600 MB,3:28:10
MAWF,Success,上午 02:17:50,上午 04:57:42,400 GB,248.9 GB,501.2 MB,2:39:51
MAWF,Success,上午 07:18:04,上午 08:42:42,400 GB,248.9 GB,196.2 MB,1:24:38
SECOM,Success,上午 10:27:52,下午 12:36:42,931.5 GB,464.2 GB,413.5 MB,2:08:50
MAWF,Success,上午 11:17:52,下午 12:42:13,400 GB,248.9 GB,144.2 MB,1:24:21
MAWF,Success,下午 03:17:53,下午 05:29:34,400 GB,248.9 GB,476.7 MB,2:11:40
MAWF,Success,下午 07:18:11,下午 09:29:40,400 GB,248.9 GB,229.2 MB,2:11:29
SECOM,Success,上午 05:28:06,上午 07:37:19,931.5 GB,462 GB,596.9 MB,2:09:13
SECOM,Success,上午 05:28:06,上午 07:37:19,931.5 GB,462 GB,596.9 MB,2:09:13
MAWF,Success,上午 10:18:07,下午 12:33:22,400 GB,248.9 GB,166.2 MB,2:15:15
SECOM,Success,下午 04:27:53,下午 06:30:32,931.5 GB,461.9 GB,540.9 MB,2:02:38
MAWF,Success,下午 05:17:47,下午 06:35:54,400 GB,248.9 GB,770.7 MB,1:18:06
MAWF,Success,下午 12:17:57,下午 01:35:00,400 GB,248.8 GB,944.2 MB,1:17:03
MAWF,Success,下午 04:17:54,下午 06:39:35,400 GB,248.8 GB,534.2 MB,2:21:40
MAWF,Success,下午 01:17:58,下午 03:03:49,400 GB,248.7 GB,246.2 MB,1:45:51
SECOM,Success,下午 01:28:01,下午 03:33:15,931.5 GB,462.1 GB,282.4 MB,2:05:13
MAWF,Success,下午 04:18:12,下午 05:08:52,400 GB,248.7 GB,448.2 MB,0:50:40
MAWF,Success,下午 10:17:46,下午 11:48:39,400 GB,248.7 GB,170.7 MB,1:30:52
MAWF,Success,上午 08:17:58,上午 09:43:41,400 GB,248.8 GB,358.2 MB,1:25:42
MAWF,Success,下午 12:18:09,下午 01:43:37,400 GB,248.8 GB,385.7 MB,1:25:28
SECOM,Success,下午 12:27:56,下午 03:01:30,931.5 GB,462.4 GB,311.9 MB,2:33:34
MAWF,Success,上午 09:18:09,上午 10:32:14,400 GB,248.9 GB,465.2 MB,1:14:04
SECOM,Success,上午 08:28:06,上午 10:36:44,931.5 GB,462.7 GB,728 MB,2:08:38
MAWF,Success,上午 09:17:57,上午 10:40:02,400 GB,248.9 GB,412.2 MB,1:22:04
MAWF,Success,下午 06:18:11,下午 08:33:04,400 GB,248.9 GB,1.7 GB,2:14:52
MAWF,Success,下午 10:19:34,下午 11:28:11,400 GB,244.3 GB,289.9 MB,1:08:37
MAWF,Success,上午 07:19:23,上午 07:23:36,400 GB,204.5 MB,199.3 MB,0:04:13
MAWF,Success,下午 02:37:41,下午 05:17:34,400 GB,248.5 GB,760.7 MB,2:39:52
MAWF,Success,下午 11:18:12,上午 12:58:26,400 GB,248.6 GB,237.7 MB,1:40:13
SECOM,Success,下午 05:27:49,下午 07:25:33,931.5 GB,463.2 GB,215.5 MB,1:57:43
